Reference,Description,Value,Package/Footprint,Manufacturer,Manufacturer Part Number,LCSC,Datasheet,Quantity,Supplier Link,Notes
C1,Electrolytic capacitor,100µF 16V,Radial THT,Generic,,,,1,,"Bulk cap on switched 5V rail to GND. Spec: 100 uF, >=16 V, aluminium electrolytic, radial, <=10 mm dia, 5.0 mm pitch. No MPN - any equivalent."
C2,Electrolytic capacitor,470µF 16V,Radial THT,Generic,,,,1,,"Coupling cap; blocks DC bias from Q1 emitter before RCA jack. 470µF not 100µF: into the 150Ω load (R5 75Ω + TV 75Ω) 100µF gives τ=15ms against the 16.7ms field period, which tilts the picture top-to-bottom. 470µF gives τ=70ms. Spec: 470 uF, >=16 V, aluminium electrolytic, radial, <=10 mm dia, 5.0 mm pitch. No MPN - any equivalent."
C3,Ceramic capacitor,100nF,0805 SMD,YAGEO,CC0805KRX7R9BB104,C49678,https://www.lcsc.com/datasheet/C49678.pdf,1,https://www.lcsc.com/product-detail/C49678.html,"X7R 16V+; U1 input decoupling - mount as close to U1 pin 1 as possible (TI datasheet requirement). Spec: 100 nF +/-10%, >=16 V, X7R, 0805 - any equivalent; the LCSC part above is a JLCPCB basic part."
D1,TVS diode (1500W unidirectional),1.5KE6.8A,DO-201AE THT,Vishay,1.5KE6.8A,,https://www.vishay.com/docs/88301/15ke.pdf,1,https://www.digikey.com/en/products/result?keywords=1.5KE6.8A,"VWM 5.80V / VBR 6.45-7.14V @10mA / VC 10.5V @143A. Cathode (banded end) toward +5V - the KiCad symbol names both pins A1/A2 and shows no polarity, but the footprint silkscreen has the band. Clamps above U1 absolute max 7V, so it protects the NES, not the eFuse"
F1,PTC resettable polyfuse,2A (IH=2.0A / IT=3.8A / VMAX=16V),Radial disc THT,Littelfuse,RHEF200,,https://www.littelfuse.com/assetdocs/resettable-ptc-rhef-datasheet?assetguid=5c5a29fe-1611-4d65-b4ce-dc979c44d206,1,https://www.digikey.com/en/products/result?keywords=RHEF200,"Non-polarized; backup protection upstream of U1 eFuse. KiCad footprint field mislabeled as polarized cap footprint in v1 (fix in v2). Footprint: no KiCad footprint exists for the Littelfuse RHEF series. F1 uses Fuse:Fuse_Bourns_MF-RG300 - pads 5.24 mm centre-to-centre, 1.01 mm drills. The RHEF200's 0.51 mm leads at 5.05 +/-0.75 mm spacing fit that, but the Bourns part is a 3.0 A/5.1 A device and the silkscreen outline is its body, not the RHEF200's - don't use it for clearance."
J2,"RCA phono jack, right-angle PCB mount (audio)",Audio,"Right-angle THT, Switchcraft PJRA series",Switchcraft,PJRAN1X1U03X,,https://www.switchcraft.com/assets/1/24/PJRAN1X1U__X_SERIES_CD.PDF,1,https://www.mouser.co.uk/ProductDetail/Switchcraft/PJRAN1X1U03X?qs=mcPJWgAPNrc45bmxqO8nXw%3D%3D,Audio pass-through from J4 pin 2 - the board does not amplify audio. Sleeve to GND. Mouser 502-PJRAN1X1U03X. Red-bodied part; order the colour you want.
J3,"RCA phono jack, right-angle PCB mount (video)",Video,"Right-angle THT, Switchcraft PJRA series",Switchcraft,PJRAN1X1U03X,,https://www.switchcraft.com/assets/1/24/PJRAN1X1U__X_SERIES_CD.PDF,1,https://www.mouser.co.uk/ProductDetail/Switchcraft/PJRAN1X1U03X?qs=mcPJWgAPNrc45bmxqO8nXw%3D%3D,"Composite video output, fed from C2 through R5. Sleeve to GND - see the v1 fault where this sleeve was wired to the audio net."
J4,"Pin header 1x05, feed from the NES",Conn_01x05,2.54mm THT vertical,Generic,,,,1,,"Connection to the console: 1=video in, 2=audio in, 3=+5V out to the NES, 4/5=GND. Was missing from this BOM until 2026-08-28. Spec: 1x05 pin header, 2.54 mm, vertical THT. Suggested: LCSC C492404 (PZ254V-11-05P)."
J5,Pin header 1x03,RGB conn feed,2.54mm THT vertical,Generic,,,,1,,"Feed to the panel-mounted 8-pin mini-DIN RGB connector: 1=video/sync, 2=GND, 3=+5V. Connector itself ships with the NESRGB kit and mounts in the shell. Spec: 1x03 pin header, 2.54 mm, vertical THT. Suggested: LCSC C2937625 (PZ254V-11-03P)."
Q1,PNP transistor,KSA1015,TO-92 THT,onsemi,KSA1015,,https://www.onsemi.com/download/data-sheet/pdf/ksa1015-d.pdf,1,https://www.digikey.com/en/products/result?keywords=KSA1015,"Flat side facing viewer, leads down = E-C-B left to right. Base=video in (through R2), Emitter=R1/C2 node, Collector=GND. 2SA1015 is obsolete and the market carries relabelled parts — source the KSA1015 (onsemi), same E-C-B pinout, still in production. Do not substitute 2N3906 or BC557 without re-checking the pinout; both differ."
