pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
21.8323,-24.7,0.0,top,C1,,,CP_Radial_D10.0mm_P5.00mm,100uf,tht
60.0,-45.0,0.0,top,C2,,,CP_Radial_D10.0mm_P5.00mm,100uf,tht
23.12,-45.0,0.0,top,D1,,,D_DO-201AE_P15.24mm_Horizontal,1.5KExxA,tht
35.5323,-24.9,0.0,top,F1,,,CP_Radial_D10.0mm_P5.00mm,Polyfuse_Small,tht
72.45,-37.05,0.0,top,J2,,,nes connector,Audio,tht
73.0,-65.0,0.0,top,J3,,,nes connector,Video,tht
70.0,-22.0,0.0,top,J4,,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05,tht
42.46,-46.0,0.0,top,Q1,,,TO-92_Inline,2SA1015,tht
38.29,-56.0,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,300,tht
21.79,-34.7,0.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
35.0,-35.0,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
50.675,-55.925,0.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,75 Ohm,tht
49.4,-22.4,180.0,top,USB-C1,,,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,USB_C_Receptacle_PowerOnly_6P,smt
